source airport,source airport id,destination apirport,destination airport id,source city,destination city,airline name,plane model,capacity
JFK,3797,KIX,3992,New York,Osaka,China Airlines,Boeing 747-400,366
JFK,3797,PTY,1871,New York,Panama City,Copa Airlines,Boeing 737-800,160
JFK,3797,HKG,3077,New York,Hong Kong,Cathay Pacific,Boeing 777-300ER,396
JFK,3797,YVR,156,New York,Vancouver,Cathay Pacific,Boeing 777-300ER,396
JFK,3797,ATL,3682,New York,Atlanta,Delta Air Lines,Boeing 757-200,162
JFK,3797,ATL,3682,New York,Atlanta,Delta Air Lines,Boeing 757,0
JFK,3797,ATL,3682,New York,Atlanta,Delta Air Lines,Airbus A319,132
JFK,3797,ATL,3682,New York,Atlanta,Delta Air Lines,Boeing 737-800,160
JFK,3797,ATL,3682,New York,Atlanta,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,AUS,3673,New York,Austin,Delta Air Lines,Airbus A319,132
JFK,3797,BCN,1218,New York,Barcelona,Delta Air Lines,Airbus A330-300,293
JFK,3797,BNA,3690,New York,Nashville,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,BOS,3448,New York,Boston,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,BOS,3448,New York,Boston,Delta Air Lines,Boeing 757-200,162
JFK,3797,BOS,3448,New York,Boston,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,BUF,3820,New York,Buffalo,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,BUF,3820,New York,Buffalo,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,CDG,1382,New York,Paris,Delta Air Lines,Airbus A330-200,234
JFK,3797,CDG,1382,New York,Paris,Delta Air Lines,Boeing 777-200,308
JFK,3797,CDG,1382,New York,Paris,Delta Air Lines,Airbus A380-800,520
JFK,3797,CDG,1382,New York,Paris,Delta Air Lines,Airbus A340-300,440
JFK,3797,CUN,1852,New York,Cancun,Delta Air Lines,Boeing 737-800,160
JFK,3797,CVG,3488,New York,Cincinnati,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,CVG,3488,New York,Cincinnati,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,DCA,3520,New York,Washington,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,DFW,3670,New York,Dallas-Fort Worth,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,DKR,1084,New York,Dakar,Delta Air Lines,Boeing 757-200,162
JFK,3797,DTW,3645,New York,Detroit,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,DTW,3645,New York,Detroit,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,DTW,3645,New York,Detroit,Delta Air Lines,Airbus A319,132
JFK,3797,DUB,599,New York,Dublin,Delta Air Lines,Boeing 757-200,162
JFK,3797,FCO,1555,New York,Rome,Delta Air Lines,Boeing 777-200,308
JFK,3797,FCO,1555,New York,Rome,Delta Air Lines,Airbus A330-300,293
JFK,3797,FCO,1555,New York,Rome,Delta Air Lines,Airbus A330,0
JFK,3797,FLL,3533,New York,Fort Lauderdale,Delta Air Lines,Boeing 757-200,162
JFK,3797,FLL,3533,New York,Fort Lauderdale,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,FLL,3533,New York,Fort Lauderdale,Delta Air Lines,Boeing 737-800,160
JFK,3797,GRU,2564,New York,Sao Paulo,Delta Air Lines,Boeing 767-400,409
JFK,3797,GUA,1767,New York,Guatemala City,Delta Air Lines,Boeing 757-200,162
